src_ip,dst_ip,src_port,dst_port,Protocol,Destination Port,Flow Duration,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Total Fwd Packets,Total Backward Packets,Subflow Fwd Packets,Subflow Bwd Packets,Total Length of Fwd Packets,Subflow Fwd Bytes,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Avg Fwd Segment Size,Total Length of Bwd Packets,Subflow Bwd Bytes,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Avg Bwd Segment Size,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Fwd Header Length.1,Bwd Header Length,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Down/Up Ratio,act_data_pkt_fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
192.168.122.126,192.168.122.255,138,138,17,138,0.001,229000000000.0,999999999.9999999,999999999.9999999,0.0,1,0,1,0,229,229,229.0,229.0,229.0,0.0,229.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,114.5,114.5,13110.25,114.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0.0,1,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0
192.168.122.126,255.255.255.255,68,67,17,67,0.001,328000000000.0,999999999.9999999,999999999.9999999,0.0,1,0,1,0,328,328,328.0,328.0,328.0,0.0,328.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,164.0,164.0,26896.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0.0,1,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0
192.168.122.1,192.168.122.126,67,68,17,68,0.001,328000000000.0,999999999.9999999,999999999.9999999,0.0,1,0,1,0,328,328,328.0,328.0,328.0,0.0,328.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,164.0,164.0,26896.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0.0,1,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0
192.168.122.126,192.168.122.255,137,137,17,137,45511220.932006836,20.56635662221349,0.2636712387463268,0.2636712387463268,0.0,12,0,12,0,936,936,78.0,78.0,78.0,0.0,78.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,72.0,20.784609690826528,432.0,72.0,4.13738372109153,8.591827737479157,30.559895992279053,0.7342038154602051,45.511220932006836,4.13738372109153,8.591827737479157,30.559895992279053,0.7342038154602051,0.0,0.0,0.0,0.0,0.0,336,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.0,12,45511220.932006836,0.0,45511220.932006836,45511220.932006836,0.0,0.0,0.0,0.0
192.168.122.126,172.217.203.94,47073,80,6,80,36278441.90597534,130.49071986799612,0.3583395349142268,0.16538747765272008,0.19295205726150674,6,7,6,7,1998,1998,1156.0,40.0,333.0,430.6146769444813,333.0,2736,2736,1460.0,40.0,390.85714285714283,558.452563165505,390.85714285714283,40.0,1460.0,364.15384615384613,504.32542091145353,254344.13017751477,364.15384615384613,3.023203492164612,10.014597948762122,36.23785710334778,0.0,36.27844190597534,7.2556883811950685,14.491091611621902,36.23785710334778,0.0004940032958984375,0.039691925048828125,0.0066153208414713545,0.010331869636723815,0.02909398078918457,0.0,264,264,292,0,2,1,5,12,0,0,0,2,3,0,0,8192,65535,618,1.1666666666666667,2,36278441.90597534,0.0,36278441.90597534,36278441.90597534,0.0,0.0,0.0,0.0
192.168.122.126,192.168.122.1,50593,53,17,53,341.17698669433594,422068.3270440252,5862.060097833682,2931.030048916841,2931.030048916841,1,1,1,1,64,64,64.0,64.0,64.0,0.0,64.0,80,80,80.0,80.0,80.0,0.0,80.0,64.0,80.0,72.0,8.0,64.0,72.0,0.00034117698669433594,0.0,0.00034117698669433594,0.00034117698669433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1.0,1,341.17698669433594,0.0,341.17698669433594,341.17698669433594,0.0,0.0,0.0,0.0
192.168.122.126,34.104.35.123,47074,80,6,80,27341363.191604614,52652.49541186147,40.12235938319428,1.3532609819308916,38.769098401263385,37,1060,37,1060,6379,6379,445.0,40.0,172.40540540540542,182.58540533419384,172.40540540540542,1433212,1433212,1460.0,40.0,1352.0867924528302,353.0763320312692,1352.0867924528302,40.0,1460.0,1312.2980856882407,408.5798508911331,166937.49455422058,1312.2980856882407,0.02494649926241297,0.27614002859503295,5.048609018325806,0.0,27.341363191604614,0.759482310877906,1.3280442487994155,5.048609018325806,7.700920104980469e-05,27.337574005126953,0.025814517474151987,0.2813442563809559,5.0536580085754395,0.0,1636,1636,42412,0,3,1,59,1094,0,0,0,12,47,0,0,8192,307,324,28.64864864864865,12,27341363.191604614,0.0,27341363.191604614,27341363.191604614,0.0,0.0,0.0,0.0
142.250.98.139,192.168.122.126,443,55210,6,55210,27.179718017578125,2943371.2280701753,73584.28070175438,36792.14035087719,36792.14035087719,1,1,1,1,40,40,40.0,40.0,40.0,0.0,40.0,40,40,40.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0,40.0,2.7179718017578125e-05,0.0,2.7179718017578125e-05,2.7179718017578125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,40,40,1,0,1,0,1,0,0,0,0,0,0,0,272,0,0,1.0,0,27.179718017578125,0.0,27.179718017578125,27.179718017578125,0.0,0.0,0.0,0.0
192.168.122.126,192.168.122.1,58394,53,17,53,377.89344787597656,396937.28706624603,5292.497160883281,2646.2485804416406,2646.2485804416406,1,1,1,1,67,67,67.0,67.0,67.0,0.0,67.0,83,83,83.0,83.0,83.0,0.0,83.0,67.0,83.0,75.0,8.0,64.0,75.0,0.00037789344787597656,0.0,0.00037789344787597656,0.00037789344787597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1.0,1,377.89344787597656,0.0,377.89344787597656,377.89344787597656,0.0,0.0,0.0,0.0
192.168.122.126,172.217.13.163,47082,443,6,443,497321.12884521484,17920.010800051394,40.215464093472605,18.096958842062673,22.118505251409932,9,11,9,11,2332,2332,1298.0,40.0,259.1111111111111,387.87324517294,259.1111111111111,6580,6580,1460.0,40.0,598.1818181818181,598.3713985298031,598.1818181818181,40.0,1460.0,445.6,541.3704277110083,293081.94000000006,445.6,0.026174796255011307,0.054174450876407806,0.2036440372467041,9.5367431640625e-07,0.49732112884521484,0.062165141105651855,0.07068751125013154,0.20427203178405762,0.0006520748138427734,0.4717071056365967,0.047170710563659665,0.10328395070066158,0.35187816619873047,9.5367431640625e-07,384,384,452,0,2,1,9,19,0,0,0,4,5,0,0,8192,65535,126,1.2222222222222223,4,497321.12884521484,0.0,497321.12884521484,497321.12884521484,0.0,0.0,0.0,0.0
192.168.122.126,172.217.13.163,47085,443,6,443,163304.80575561523,50990.538591138036,116.34685159500694,48.98814804000292,67.35870355500401,8,11,8,11,1828,1828,835.0,40.0,228.5,262.3213677914935,228.5,6499,6499,1460.0,40.0,590.8181818181819,593.3044317720293,590.8181818181819,40.0,1460.0,438.2631578947368,514.5575352316899,264769.4570637119,438.2631578947368,0.009072489208645292,0.019549147705506992,0.08156704902648926,0.0,0.16330480575561523,0.02332925796508789,0.02978533840943174,0.08214211463928223,0.00020599365234375,0.14066314697265625,0.014066314697265625,0.024507300542105676,0.08212399482727051,0.0,344,344,452,0,2,1,9,18,0,0,0,4,5,0,0,8192,65535,126,1.375,4,163304.80575561523,0.0,163304.80575561523,163304.80575561523,0.0,0.0,0.0,0.0
